Task 1

|Name                                         |Amount Pledged|Tax Information                                                                                     |
|---------------------------------------------|--------------|----------------------------------------------------------------------------------------------------|
|Westley Welch                                |6500          |100 St. Patrick St., Stratford, ON, N5A 7W1                                                         |
|Virgee Hawking                               |580           |469 Montreal St., Kingston, ON, K7K 3H9                                                             |
|Lauraine Delgado                             |420           |200 Jarvis St., Fort Erie, ON, L2A 2S7                                                              |
|Deidra Shakespeare                           |415           |311 Jarvis St., Toronto, ON, M5B 2C4                                                                |
|Frieda Wallace                               |400           |1107 Garrett St. OSO Township Hall, Sharbot Lake, ON, K0H 2P0                                       |
|Lark Statham                                 |360           |55 Munsee St. N., Cayuga, ON, N0A 1E0                                                               |
|Adair Seymour                                |320           |38 Revillion Rd. North, Moosonee, ON, P0L 1Y0                                                       |
|Becka Stevens                                |315           |47 Sheppard Ave. East, Toronto, ON, M2N 5N1                                                         |
|Tasha Traves                                 |260           |140 Government Rd, E. PO Box 730, Kirkland Lake, ON, P2N 3K1                                        |
|Floella Nelson                               |235           |15 Bridge Street West, Belleville, ON, K8P 0C7                                                      |
|Vinal Layton                                 |215           |155 Elm St, Sudbury, ON, P3C 1T9                                                                    |
|Allyson Deadman                              |210           |David Meekis Memorial School, Deer Lake, ON, P0V 1N0                                                |
|Mandi West                                   |200           |18-4th Avenue South, Sioux Lookout, ON, P8T 1C5                                                     |
|Dean Simpkin                                 |195           |138 Wadsworth St. Recreation Centre, Nipigon, ON, P0T 2J0                                           |
|Benedita Ellsworth                           |175           |216 Water Street, Kenora, ON, P9N 1S4                                                               |
|Teodoro Linton                               |175           |299 East Street Cultural Centre, Geraldton, ON, P0T 1M0                                             |
|Freda Wayne                                  |140           |110 Main St. North, PO Box 699, Alexandria, ON, K0C 1A0                                             |
|Elicia Waldroup                              |135           |44 Union St. PO Box 680, Picton, ON, K0K 2T0                                                        |
|Jayceon York                                 |135           |860 William St., Cobourg, ON, K9A 3A9                                                               |
|Rheanna Cabral                               |130           |207 Cayley St. PO Box 39, Walkerton, ON, N0G 2VO                                                    |
|Rheanna Watson                               |125           |Community Centre  Hwy 661, Gogama, ON, P0M 1W0                                                      |
|Sheree Skeates                               |125           |59 Church Street, St. Catharines, ON, L2R 7N8                                                       |
|Algar Leach                                  |120           |School Gym, Cat Lake, ON, P0V 1J0                                                                   |
|Fathi Ajam                                   |120           |122 Government Road West, Ontario Government Building, Kapuskasing, ON, P5N 2X8                     |
|Mohammad Keys                                |115           |59 Court St., 2nd Fl., L Orignal, ON, K0B 1K0                                                       |
|Twyla Elliot                                 |115           |School, Wapekeka, ON, Criminal Youth - Ontario Court of Justice:                                    |
|Nathália Ross                                |110           |70 Wellington St., Brantford, ON, N3T 2L9                                                           |
|Mansur Wilcox                                |100           |36 Chaffey St., Huntsville, ON, P1H 1J4                                                             |
|Anabella Bradley                             |95            |74 Woolwich St., Guelph, ON, N1H 3T9                                                                |
|Rickey Terrell                               |95            |5 Court Street, Kingston, ON, K7L 2N4                                                               |
|Addison Gully                                |90            |330 University Ave., Toronto, ON, M5G 1R7                                                           |
|Doroteia Edgar                               |90            |43 Drummond St E, Perth, ON, K7H 1G1                                                                |
|Haidar Tobias                                |90            |40 Broadway Ave., Wawa, ON, P0S 1C2                                                                 |
|Jathibiyya Wilcox                            |90            |1000 Finch Ave. West, Toronto, ON, M3J 2V5                                                          |
|Nazariy Moon                                 |90            |7 Clark St. West, Leamington, ON, N8H 1E5                                                           |
|Hilary Kipling                               |80            |48 Spruce St. N., Timmins, ON, P4N 6M7                                                              |
|Cristiana Randal                             |75            |70 Simcoe St., Peterborough, ON, K9H 7G9                                                            |
|Luanna Merritt                               |75            |38 Pine Street N., Timmins, ON, P4N 6K6                                                             |
|Dawn Silva                                   |70            |49 Huron St., Collingwood, ON, L9Y 1C5                                                              |
|Matias Wallace                               |70            |Gym, Wunnumin Lake, ON, Criminal Youth - Ontario Court of Justice:                                  |
|Sierra Hunt                                  |70            |75 Mulcaster Street, Barrie, ON, L4M 3P2                                                            |
|Alene Richardson                             |65            |330 Wallace Ave., Listowel, ON, N4W 1L2                                                             |
|Denzil Brasher                               |65            |316 William St., Exeter, ON, N0M 1S0                                                                |
|Kayden Elder                                 |65            |Suite 301 - 50 Frederick Hobson VC Drive, Simcoe, ON, N3Y 0E4                                       |
